test,enroll,score,lang,up_votes,down_votes,speaker_id,validation,score_bin
common_voice_ab_29496822.mp3,common_voice_ab_29550540.mp3,0.1851,ab,2,0,367,Different Speaker,< 0.2
common_voice_ab_29537063.mp3,common_voice_ab_29550540.mp3,0.24,ab,2,0,367,Different Speaker,< 0.3
common_voice_ab_29506319.mp3,common_voice_ab_29550540.mp3,0.2835,ab,2,0,367,Different Speaker,< 0.3
common_voice_ab_29492126.mp3,common_voice_ab_29681088.mp3,0.416,ab,3,0,324,Different Speaker,< 0.5
common_voice_ab_29458959.mp3,common_voice_ab_29459822.mp3,0.4256,ab,2,0,266,Same Speaker,< 0.5
common_voice_ab_29467900.mp3,common_voice_ab_29550540.mp3,0.1969,ab,2,0,367,Different Speaker,< 0.2
common_voice_ab_29508829.mp3,common_voice_ab_29670438.mp3,0.009,ab,2,0,355,Missing Speech,< 0.1
common_voice_ab_29279206.mp3,common_voice_ab_29567796.mp3,0.1502,ab,2,0,247,Different Speaker,< 0.2
common_voice_ab_29620620.mp3,common_voice_ab_29692815.mp3,0.3612,ab,2,0,364,Same Speaker,< 0.4
common_voice_ab_29542081.mp3,common_voice_ab_29550540.mp3,0.2672,ab,2,0,367,Different Speaker,< 0.3
common_voice_ab_29479121.mp3,common_voice_ab_29692815.mp3,0.4544,ab,2,0,364,Different Speaker,< 0.5
common_voice_ab_29467699.mp3,common_voice_ab_29575678.mp3,0.1906,ab,2,0,353,Different Speaker,< 0.2
common_voice_ab_29583429.mp3,common_voice_ab_29587000.mp3,0.8194,ab,2,0,340,Same Speaker,< 1.0
common_voice_ab_29819255.mp3,common_voice_ab_29819425.mp3,0.8438,ab,2,0,339,Same Speaker,< 1.0
common_voice_ab_26417961.mp3,common_voice_ab_29815387.mp3,0.0449,ab,2,0,176,Different Speaker,< 0.1
common_voice_ab_29430085.mp3,common_voice_ab_29815630.mp3,0.6896,ab,2,0,285,Audio Quality Issue,< 1.0
common_voice_ab_29362594.mp3,common_voice_ab_29371291.mp3,0.3843,ab,2,0,297,Same Speaker,< 0.4
common_voice_ab_29535966.mp3,common_voice_ab_29550540.mp3,0.2567,ab,2,0,367,Different Speaker,< 0.3
common_voice_ab_29465951.mp3,common_voice_ab_29575678.mp3,0.4137,ab,2,0,353,Different Speaker,< 0.5
common_voice_ab_29569158.mp3,common_voice_ab_29651042.mp3,0.4818,ab,2,0,368,Different Speaker,< 0.5
common_voice_ab_29644021.mp3,common_voice_ab_29670438.mp3,-0.0619,ab,2,0,355,Missing Speech,< 0.1
common_voice_ab_29673369.mp3,common_voice_ab_29689457.mp3,0.3103,ab,3,0,228,Audio Quality Issue,< 0.4
common_voice_ab_29505584.mp3,common_voice_ab_29550540.mp3,0.1861,ab,2,0,367,Different Speaker,< 0.2
common_voice_ab_29360292.mp3,common_voice_ab_29575678.mp3,0.3884,ab,2,0,353,Different Speaker,< 0.4
common_voice_ab_29301646.mp3,common_voice_ab_29317595.mp3,0.615,ab,2,0,349,Different Speaker,< 1.0
common_voice_ab_29509238.mp3,common_voice_ab_29670438.mp3,0.0369,ab,2,0,355,Missing Speech,< 0.1
common_voice_ab_29711008.mp3,common_voice_ab_29711251.mp3,0.6913,ab,2,1,234,Same Speaker,< 1.0
common_voice_ab_29621865.mp3,common_voice_ab_29692815.mp3,0.3936,ab,2,0,364,Same Speaker,< 0.4
common_voice_ab_29541330.mp3,common_voice_ab_29550540.mp3,0.2814,ab,2,0,367,Different Speaker,< 0.3
common_voice_ab_29494879.mp3,common_voice_ab_29670438.mp3,0.0155,ab,2,0,355,Missing Speech,< 0.1
common_voice_am_37890165.mp3,common_voice_am_37952755.mp3,0.3594,am,2,0,19,Same Speaker,< 0.4
common_voice_am_37782848.mp3,common_voice_am_38630665.mp3,0.5392,am,2,0,21,Same Speaker,< 1.0
common_voice_am_37782925.mp3,common_voice_am_38630665.mp3,0.3967,am,2,0,21,Same Speaker,< 0.4
common_voice_am_37782827.mp3,common_voice_am_38630665.mp3,0.3083,am,2,0,21,Same Speaker,< 0.4
common_voice_am_37811889.mp3,common_voice_am_38630665.mp3,0.3901,am,2,0,21,Not Sure,< 0.4
common_voice_am_37782619.mp3,common_voice_am_38630665.mp3,0.4558,am,2,0,21,Same Speaker,< 0.5
common_voice_am_37802916.mp3,common_voice_am_37807189.mp3,0.6341,am,2,0,20,Same Speaker,< 1.0
common_voice_am_37842345.mp3,common_voice_am_37888679.mp3,0.2136,am,2,1,15,Audio Quality Issue,< 0.3
common_voice_am_37805169.mp3,common_voice_am_38630665.mp3,0.7494,am,2,0,21,Same Speaker,< 1.0
common_voice_am_37811839.mp3,common_voice_am_38630665.mp3,0.3682,am,2,0,21,Different Speaker,< 0.4
common_voice_am_37842342.mp3,common_voice_am_37888679.mp3,0.2302,am,2,0,15,Audio Quality Issue,< 0.3
common_voice_am_37768251.mp3,common_voice_am_38630665.mp3,0.5075,am,2,0,21,Same Speaker,< 1.0
common_voice_am_38331904.mp3,common_voice_am_38630665.mp3,0.2845,am,2,0,21,Different Speaker,< 0.3
common_voice_am_37890182.mp3,common_voice_am_37952755.mp3,0.2707,am,2,0,19,Audio Quality Issue,< 0.3
common_voice_am_37814541.mp3,common_voice_am_38630665.mp3,0.6559,am,2,0,21,Same Speaker,< 1.0
common_voice_am_37842343.mp3,common_voice_am_37888679.mp3,0.4029,am,2,0,15,Audio Quality Issue,< 0.5
common_voice_am_37811879.mp3,common_voice_am_38630665.mp3,0.2857,am,2,0,21,Audio Quality Issue,< 0.3
common_voice_am_37811890.mp3,common_voice_am_38630665.mp3,0.4434,am,2,0,21,Not Sure,< 0.5
common_voice_am_37802800.mp3,common_voice_am_37807189.mp3,0.4986,am,2,0,20,Same Speaker,< 0.5
common_voice_am_38331903.mp3,common_voice_am_38630665.mp3,0.1722,am,2,1,21,Different Speaker,< 0.2
common_voice_am_37952732.mp3,common_voice_am_37952755.mp3,0.4269,am,2,0,19,Same Speaker,< 0.5
common_voice_as_32850048.mp3,common_voice_as_32869623.mp3,0.756,as,4,0,41,Different Speaker,< 1.0
common_voice_as_22157876.mp3,common_voice_as_24201142.mp3,0.3603,as,6,0,38,Different Speaker,< 0.4
common_voice_as_32862305.mp3,common_voice_as_32869623.mp3,0.4623,as,4,0,41,Different Speaker,< 0.5
common_voice_as_22030649.mp3,common_voice_as_24201142.mp3,0.4157,as,6,0,38,Different Speaker,< 0.5
common_voice_as_22015902.mp3,common_voice_as_24201142.mp3,0.2542,as,6,0,38,Different Speaker,< 0.3
common_voice_as_22015893.mp3,common_voice_as_24201142.mp3,0.3945,as,6,0,38,Different Speaker,< 0.4
common_voice_as_22158890.mp3,common_voice_as_24201142.mp3,0.4079,as,6,0,38,Different Speaker,< 0.5
common_voice_as_22016209.mp3,common_voice_as_24201142.mp3,0.3849,as,6,0,38,Different Speaker,< 0.4
common_voice_as_24200029.mp3,common_voice_as_24201142.mp3,0.7535,as,6,0,38,Same Speaker,< 1.0
common_voice_as_31718669.mp3,common_voice_as_32329208.mp3,0.4824,as,2,1,12,Different Speaker,< 0.5
common_voice_as_24178224.mp3,common_voice_as_32546526.mp3,0.8479,as,2,0,39,Different Speaker,< 1.0
common_voice_as_22015895.mp3,common_voice_as_24201142.mp3,0.2665,as,6,0,38,Different Speaker,< 0.3
common_voice_as_22075084.mp3,common_voice_as_22152647.mp3,0.6341,as,2,0,40,Audio Quality Issue,< 1.0
common_voice_as_32844126.mp3,common_voice_as_32869623.mp3,0.669,as,4,0,41,Same Speaker,< 1.0
common_voice_as_22158059.mp3,common_voice_as_24201142.mp3,0.3937,as,6,0,38,Different Speaker,< 0.4
common_voice_as_22016339.mp3,common_voice_as_24201142.mp3,0.3223,as,6,0,38,Different Speaker,< 0.4
common_voice_as_22157927.mp3,common_voice_as_24201142.mp3,0.4879,as,6,0,38,Different Speaker,< 0.5
common_voice_ba_25385724.mp3,common_voice_ba_25385882.mp3,0.617,ba,2,1,556,Same Speaker,< 1.0
